start_date,total_sessions,total_duration_minutes,avg_duration_minutes,completed_sessions,material_types,total_jobs,success_rate,utilization_hours
2021-04-01,3,17.92,5.97,3,1,0,100.0,0.3
2021-04-03,1,4.58,4.58,1,1,0,100.0,0.1
2021-04-08,1,5.38,5.38,1,1,0,100.0,0.1
2021-04-10,1,4.88,4.88,1,1,0,100.0,0.1
2021-04-12,1,7.42,7.42,1,1,0,100.0,0.1
2021-04-15,1,5.05,5.05,1,1,0,100.0,0.1
2021-04-17,1,4.45,4.45,1,1,0,100.0,0.1
2021-04-20,1,4.67,4.67,1,1,0,100.0,0.1
2021-04-22,1,4.8,4.8,1,1,0,100.0,0.1
2021-04-23,3,13.67,4.56,3,1,0,100.0,0.2
2021-04-30,1,4.63,4.63,1,1,0,100.0,0.1
2021-05-04,3,14.65,4.88,3,1,0,100.0,0.2
2021-05-14,1,5.03,5.03,1,1,0,100.0,0.1
2021-05-15,1,4.48,4.48,1,1,0,100.0,0.1
2021-05-25,2,9.0,4.5,2,1,0,100.0,0.2
2021-05-28,5,23.3,4.66,5,1,0,100.0,0.4
2021-05-29,1,4.33,4.33,1,1,0,100.0,0.1
2021-05-31,3,13.27,4.42,3,1,0,100.0,0.2
2021-06-01,1,4.32,4.32,1,1,0,100.0,0.1
2021-06-03,1,4.22,4.22,1,1,0,100.0,0.1
2021-06-04,1,4.2,4.2,1,1,0,100.0,0.1
2021-06-12,1,174.82,174.82,1,1,0,100.0,2.9
2021-06-14,1,5.12,5.12,1,1,0,100.0,0.1
2021-06-18,1,4.82,4.82,1,1,0,100.0,0.1
2021-06-21,2,8.58,4.29,2,1,0,100.0,0.1
2021-06-25,1,4.88,4.88,1,1,0,100.0,0.1
2021-06-26,2,9.12,4.56,2,1,0,100.0,0.2
2021-06-28,1,4.68,4.68,1,1,0,100.0,0.1
2021-07-01,1,4.57,4.57,1,1,0,100.0,0.1
2021-07-03,5,24.7,4.94,5,1,0,100.0,0.4
2021-07-05,3,14.92,4.97,3,1,0,100.0,0.2
2021-07-10,5,22.72,4.54,5,1,0,100.0,0.4
2021-07-15,2,9.23,4.62,2,1,0,100.0,0.2
2021-07-19,2,9.27,4.63,2,1,0,100.0,0.2
2021-07-20,2,9.02,4.51,2,1,0,100.0,0.2
2021-07-22,3,13.97,4.66,3,1,0,100.0,0.2
2021-07-27,2,9.15,4.58,2,1,0,100.0,0.2
2021-07-30,1,4.47,4.47,1,1,0,100.0,0.1
2021-07-31,1,4.42,4.42,1,1,0,100.0,0.1
2021-08-07,2,9.12,4.56,2,1,0,100.0,0.2
2021-08-14,1,4.5,4.5,1,1,0,100.0,0.1
2021-08-16,3,13.82,4.61,3,1,0,100.0,0.2
2021-08-19,5,22.47,4.49,5,1,0,100.0,0.4
2021-08-21,7,35.18,5.03,7,1,0,100.0,0.6
2021-08-23,5,25.28,5.06,5,1,0,100.0,0.4
2021-08-24,4,25.43,6.36,4,1,0,100.0,0.4
2021-08-26,2,12.65,6.32,2,1,0,100.0,0.2
2021-08-27,3,15.97,5.32,3,1,0,100.0,0.3
2021-08-28,4,26.72,6.68,4,1,0,100.0,0.4
2021-08-30,1,4.92,4.92,1,1,0,100.0,0.1
2021-08-31,1,4.53,4.53,1,1,0,100.0,0.1
2021-09-02,3,13.47,4.49,3,1,0,100.0,0.2
2021-09-04,1,4.22,4.22,1,1,0,100.0,0.1
2021-09-10,5,169.18,33.84,5,1,0,100.0,2.8
2021-09-14,1,4.65,4.65,1,1,0,100.0,0.1
2021-09-17,2,9.88,4.94,2,1,0,100.0,0.2
2021-09-20,2,8.88,4.44,2,1,0,100.0,0.1
2021-09-21,2,9.05,4.53,2,1,0,100.0,0.2
2021-09-24,2,10.18,5.09,2,1,0,100.0,0.2
2021-09-28,6,31.33,5.22,6,1,0,100.0,0.5
2021-09-30,2,9.57,4.78,2,1,0,100.0,0.2
2021-10-01,1,4.38,4.38,1,1,0,100.0,0.1
2021-10-04,4,19.57,4.89,4,1,0,100.0,0.3
2021-10-05,2,11.37,5.68,2,1,0,100.0,0.2
2021-10-07,7,40.03,5.72,7,1,0,100.0,0.7
2021-10-08,5,21.67,4.33,5,1,0,100.0,0.4
2021-10-14,1,4.55,4.55,1,1,0,100.0,0.1
2021-10-15,1,4.55,4.55,1,1,0,100.0,0.1
2021-10-18,8,34.25,4.28,8,1,0,100.0,0.6
2021-10-19,1,5.52,5.52,1,1,0,100.0,0.1
2021-10-21,1,4.28,4.28,1,1,0,100.0,0.1
2021-10-22,1,4.33,4.33,1,1,0,100.0,0.1
2021-10-25,2,10.65,5.32,2,1,0,100.0,0.2
2021-10-26,2,8.75,4.38,2,1,0,100.0,0.1
2021-10-28,1,4.48,4.48,1,1,0,100.0,0.1
2021-10-29,2,9.77,4.88,2,1,0,100.0,0.2
2021-11-01,4,19.15,4.79,4,1,0,100.0,0.3
2021-11-02,2,9.12,4.56,2,1,0,100.0,0.2
2021-11-04,1,4.57,4.57,1,1,0,100.0,0.1
2021-11-05,2,8.68,4.34,2,1,0,100.0,0.1
2021-11-08,1,4.25,4.25,1,1,0,100.0,0.1
2021-11-09,3,16.25,5.42,3,1,0,100.0,0.3
2021-11-11,2,9.25,4.62,2,1,0,100.0,0.2
2021-11-12,6,30.63,5.11,6,1,0,100.0,0.5
2021-11-13,5,22.33,4.47,5,1,0,100.0,0.4
2021-11-15,3,15.28,5.09,3,1,0,100.0,0.3
2021-11-16,5,24.8,4.96,5,1,0,100.0,0.4
2021-11-20,2,8.47,4.23,2,1,0,100.0,0.1
2021-11-22,8,37.38,4.67,8,1,0,100.0,0.6
2021-11-23,1,4.65,4.65,1,1,0,100.0,0.1
2021-11-27,8,34.42,4.3,8,1,0,100.0,0.6
2021-11-30,1,4.33,4.33,1,1,0,100.0,0.1
2021-12-02,3,13.62,4.54,3,1,0,100.0,0.2
2021-12-03,3,13.45,4.48,3,1,0,100.0,0.2
2021-12-04,2,9.43,4.72,2,1,0,100.0,0.2
2021-12-06,2,10.75,5.38,2,1,0,100.0,0.2
2021-12-07,1,4.38,4.38,1,1,0,100.0,0.1
2021-12-10,4,19.25,4.81,4,1,0,100.0,0.3
2021-12-11,1,4.18,4.18,1,1,0,100.0,0.1
2021-12-13,5,23.12,4.62,5,1,0,100.0,0.4
2021-12-14,3,14.22,4.74,3,1,0,100.0,0.2
2021-12-16,1,5.42,5.42,1,1,0,100.0,0.1
2021-12-17,5,23.0,4.6,5,1,0,100.0,0.4
2021-12-18,1,4.72,4.72,1,1,0,100.0,0.1
2021-12-20,1,4.82,4.82,1,1,0,100.0,0.1
2021-12-28,1,4.42,4.42,1,1,0,100.0,0.1
2021-12-30,1,5.02,5.02,1,1,0,100.0,0.1
2022-01-04,1,4.72,4.72,1,1,0,100.0,0.1
2022-01-06,3,13.18,4.39,3,1,0,100.0,0.2
2022-01-07,3,12.87,4.29,3,1,0,100.0,0.2
2022-01-08,4,19.48,4.87,4,1,0,100.0,0.3
2022-01-10,2,177.92,88.96,2,1,0,100.0,3.0
2022-01-11,4,22.83,5.71,4,1,0,100.0,0.4
2022-01-14,3,13.83,4.61,3,1,0,100.0,0.2
2022-01-15,4,17.93,4.48,4,1,0,100.0,0.3
2022-01-17,3,22.72,7.57,3,1,0,100.0,0.4
2022-01-18,1,4.25,4.25,1,1,0,100.0,0.1
2022-01-20,2,9.22,4.61,2,1,0,100.0,0.2
2022-01-21,2,8.77,4.38,2,1,0,100.0,0.1
2022-01-22,1,5.2,5.2,1,1,0,100.0,0.1
2022-01-24,1,4.32,4.32,1,1,0,100.0,0.1
2022-01-25,3,13.22,4.41,3,1,0,100.0,0.2
2022-01-28,2,9.02,4.51,2,1,0,100.0,0.2
2022-01-29,4,18.58,4.65,4,1,0,100.0,0.3
2022-01-31,1,4.58,4.58,1,1,0,100.0,0.1
2022-02-03,4,25.38,6.35,4,1,0,100.0,0.4
2022-02-04,4,19.2,4.8,4,1,0,100.0,0.3
2022-02-07,5,23.67,4.73,5,1,0,100.0,0.4
2022-02-08,2,8.68,4.34,2,1,0,100.0,0.1
2022-02-10,3,13.18,4.39,3,1,0,100.0,0.2
2022-02-11,4,17.57,4.39,4,1,0,100.0,0.3
2022-02-14,2,9.33,4.67,2,1,0,100.0,0.2
2022-02-15,2,11.3,5.65,2,1,0,100.0,0.2
2022-02-17,12,47.7,3.98,12,1,0,100.0,0.8
2022-02-19,3,13.0,4.33,3,1,0,100.0,0.2
2022-02-21,2,9.0,4.5,2,1,0,100.0,0.2
2022-02-22,3,15.3,5.1,3,1,0,100.0,0.3
2022-02-24,4,19.28,4.82,4,1,0,100.0,0.3
2022-02-25,6,26.78,4.46,6,1,0,100.0,0.4
2022-02-26,4,17.78,4.45,4,1,0,100.0,0.3
2022-02-28,6,26.02,4.34,6,1,0,100.0,0.4
2022-03-01,6,25.75,4.29,6,1,0,100.0,0.4
2022-03-03,2,9.5,4.75,2,1,0,100.0,0.2
